Step,ScenarioA_Low,ScenarioA_High,ScenarioB_Low,ScenarioB_High
0,0.1,0.9,0.1,0.9
1,0.096,0.905,0.118,0.882
2,0.096,0.906,0.138,0.863
3,0.092,0.909,0.155,0.845
4,0.089,0.911,0.173,0.827
5,0.085,0.912,0.189,0.809
6,0.084,0.914,0.205,0.795
7,0.081,0.917,0.222,0.776
8,0.077,0.917,0.238,0.76
9,0.077,0.922,0.252,0.746
10,0.073,0.927,0.268,0.731
11,0.072,0.929,0.282,0.715
12,0.071,0.932,0.296,0.699
13,0.068,0.935,0.314,0.683
14,0.066,0.937,0.325,0.669
15,0.064,0.941,0.335,0.658
16,0.063,0.941,0.346,0.644
17,0.063,0.942,0.357,0.629
18,0.062,0.944,0.371,0.615
19,0.062,0.945,0.384,0.602
20,0.059,0.946,0.391,0.594
21,0.059,0.947,0.399,0.581
22,0.059,0.948,0.406,0.575
23,0.058,0.948,0.414,0.569
24,0.054,0.949,0.423,0.561
25,0.054,0.951,0.431,0.555
26,0.054,0.952,0.435,0.552
27,0.052,0.953,0.441,0.546
28,0.051,0.954,0.446,0.539
29,0.051,0.955,0.448,0.53
30,0.05,0.955,0.455,0.528
31,0.048,0.957,0.46,0.518
32,0.047,0.958,0.462,0.524
33,0.043,0.959,0.467,0.517
34,0.042,0.959,0.468,0.512
35,0.041,0.96,0.471,0.509
36,0.041,0.962,0.474,0.51
37,0.039,0.962,0.481,0.51
38,0.039,0.963,0.484,0.511
39,0.038,0.964,0.481,0.512
40,0.037,0.965,0.485,0.512
41,0.036,0.966,0.487,0.513
42,0.035,0.967,0.487,0.516
43,0.035,0.967,0.488,0.513
44,0.035,0.968,0.491,0.515
45,0.034,0.968,0.488,0.519
46,0.033,0.968,0.487,0.514
47,0.032,0.968,0.486,0.511
48,0.032,0.969,0.484,0.514
49,0.031,0.971,0.484,0.51
50,0.029,0.973,0.484,0.506
51,0.029,0.973,0.486,0.503
52,0.028,0.973,0.489,0.503
53,0.028,0.974,0.489,0.504
54,0.027,0.975,0.491,0.506
55,0.026,0.975,0.49,0.504
56,0.024,0.975,0.494,0.507
57,0.023,0.975,0.496,0.504
58,0.023,0.975,0.496,0.507
59,0.022,0.975,0.493,0.512
60,0.021,0.976,0.494,0.517
61,0.021,0.976,0.496,0.512
62,0.02,0.978,0.498,0.509
63,0.02,0.98,0.498,0.507
64,0.019,0.98,0.499,0.505
65,0.019,0.98,0.497,0.499
66,0.019,0.98,0.497,0.5
67,0.019,0.981,0.5,0.505
68,0.019,0.982,0.505,0.5
69,0.018,0.983,0.503,0.501
70,0.018,0.984,0.498,0.5
71,0.018,0.984,0.494,0.502
72,0.018,0.985,0.496,0.498
73,0.018,0.985,0.49,0.501
74,0.017,0.985,0.488,0.493
75,0.016,0.985,0.489,0.5
76,0.016,0.985,0.493,0.498
77,0.016,0.985,0.49,0.5
78,0.016,0.985,0.493,0.5
79,0.016,0.985,0.492,0.501
80,0.016,0.985,0.492,0.503
81,0.016,0.986,0.49,0.509
82,0.015,0.987,0.49,0.504
83,0.015,0.988,0.494,0.5
84,0.015,0.989,0.496,0.501
85,0.015,0.989,0.499,0.5
86,0.013,0.989,0.497,0.499
87,0.013,0.989,0.5,0.501
88,0.012,0.99,0.498,0.5
89,0.012,0.99,0.5,0.494
90,0.011,0.99,0.497,0.498
91,0.011,0.99,0.503,0.495
92,0.011,0.991,0.506,0.494
93,0.011,0.991,0.501,0.488
94,0.011,0.991,0.505,0.489
95,0.011,0.991,0.501,0.49
96,0.011,0.991,0.502,0.487
97,0.011,0.992,0.498,0.489
98,0.011,0.992,0.5,0.493
99,0.011,0.992,0.498,0.492
100,0.011,0.992,0.495,0.497
101,0.011,0.993,0.495,0.495
102,0.01,0.993,0.494,0.492
103,0.01,0.993,0.498,0.49
104,0.01,0.994,0.488,0.495
105,0.009,0.994,0.486,0.497
106,0.008,0.994,0.485,0.498
107,0.008,0.994,0.489,0.498
108,0.008,0.994,0.487,0.5
109,0.008,0.994,0.484,0.503
110,0.008,0.994,0.486,0.505
111,0.008,0.994,0.489,0.504
112,0.008,0.994,0.486,0.5
113,0.008,0.994,0.489,0.501
114,0.007,0.994,0.49,0.496
115,0.007,0.994,0.492,0.495
116,0.007,0.994,0.487,0.494
117,0.007,0.994,0.483,0.498
118,0.007,0.995,0.484,0.496
119,0.007,0.995,0.487,0.494
120,0.007,0.995,0.492,0.496
121,0.007,0.995,0.491,0.496
122,0.006,0.995,0.491,0.492
123,0.006,0.995,0.491,0.497
124,0.006,0.995,0.491,0.496
125,0.006,0.996,0.487,0.499
126,0.006,0.996,0.491,0.497
127,0.006,0.996,0.493,0.49
128,0.006,0.996,0.49,0.492
129,0.006,0.996,0.487,0.491
130,0.006,0.996,0.486,0.491
131,0.006,0.997,0.492,0.486
132,0.006,0.997,0.49,0.481
133,0.006,0.997,0.488,0.479
134,0.006,0.997,0.488,0.485
135,0.006,0.997,0.489,0.485
136,0.005,0.997,0.491,0.489
137,0.005,0.997,0.49,0.493
138,0.005,0.997,0.493,0.499
139,0.005,0.997,0.488,0.501
140,0.005,0.997,0.487,0.498
141,0.005,0.997,0.485,0.497
142,0.005,0.997,0.483,0.494
143,0.005,0.997,0.484,0.489
144,0.005,0.998,0.488,0.491
145,0.005,0.998,0.486,0.491
146,0.005,0.998,0.489,0.49
147,0.005,0.998,0.491,0.486
148,0.005,0.998,0.492,0.49
149,0.005,0.998,0.494,0.488
150,0.005,0.998,0.499,0.492
151,0.005,0.998,0.497,0.495
152,0.004,0.998,0.499,0.49
153,0.004,0.998,0.496,0.494
154,0.003,0.998,0.494,0.497
155,0.003,0.998,0.49,0.502
156,0.003,0.998,0.491,0.498
157,0.003,0.998,0.484,0.498
158,0.003,0.998,0.487,0.495
159,0.003,0.998,0.486,0.491
160,0.003,0.998,0.486,0.493
161,0.003,0.998,0.483,0.498
162,0.003,0.998,0.48,0.5
163,0.003,0.999,0.482,0.502
164,0.003,0.999,0.486,0.498
165,0.003,0.999,0.488,0.493
166,0.003,0.999,0.484,0.493
167,0.003,0.999,0.49,0.492
168,0.003,0.999,0.49,0.496
169,0.003,0.999,0.489,0.499
170,0.003,0.999,0.487,0.494
171,0.003,0.999,0.49,0.494
172,0.003,0.999,0.488,0.497
173,0.003,0.999,0.49,0.499
174,0.003,0.999,0.493,0.5
175,0.003,0.999,0.493,0.504
176,0.003,0.999,0.494,0.498
177,0.003,0.999,0.491,0.497
178,0.003,1.0,0.485,0.495
179,0.003,1.0,0.488,0.498
180,0.003,1.0,0.488,0.499
181,0.003,1.0,0.49,0.494
182,0.002,1.0,0.497,0.497
183,0.002,1.0,0.5,0.493
184,0.002,1.0,0.495,0.49
185,0.002,1.0,0.498,0.488
186,0.002,1.0,0.497,0.49
187,0.002,1.0,0.498,0.489
188,0.001,1.0,0.497,0.488
189,0.001,1.0,0.499,0.487
190,0.001,1.0,0.499,0.495
191,0.001,1.0,0.502,0.5
192,0.001,1.0,0.504,0.502
193,0.001,1.0,0.499,0.505
194,0.001,1.0,0.499,0.506
195,0.001,1.0,0.5,0.505
196,0.001,1.0,0.499,0.502
197,0.001,1.0,0.494,0.504
198,0.001,1.0,0.495,0.499
199,0.001,1.0,0.493,0.5
200,0.001,1.0,0.491,0.496
201,0.001,1.0,0.496,0.493
202,0.001,1.0,0.501,0.488
203,0.001,1.0,0.5,0.494
204,0.001,1.0,0.493,0.494
205,0.001,1.0,0.496,0.492
206,0.001,1.0,0.498,0.492
207,0.001,1.0,0.5,0.496
208,0.001,1.0,0.502,0.501
209,0.001,1.0,0.501,0.502
210,0.001,1.0,0.504,0.505
211,0.001,1.0,0.505,0.504
212,0.001,1.0,0.503,0.5
213,0.001,1.0,0.5,0.5
214,0.001,1.0,0.496,0.498
215,0.001,1.0,0.492,0.496
216,0.001,1.0,0.487,0.499
217,0.001,1.0,0.483,0.499
218,0.001,1.0,0.486,0.497
219,0.001,1.0,0.487,0.498
220,0.001,1.0,0.482,0.499
221,0.001,1.0,0.483,0.5
222,0.001,1.0,0.486,0.496
223,0.001,1.0,0.485,0.495
224,0.001,1.0,0.483,0.493
225,0.001,1.0,0.478,0.49
226,0.001,1.0,0.48,0.492
227,0.001,1.0,0.482,0.491
228,0.001,1.0,0.48,0.488
229,0.001,1.0,0.483,0.488
230,0.001,1.0,0.486,0.486
231,0.001,1.0,0.492,0.487
232,0.001,1.0,0.492,0.488
233,0.001,1.0,0.489,0.489
234,0.001,1.0,0.486,0.484
235,0.001,1.0,0.483,0.489
236,0.001,1.0,0.482,0.491
237,0.001,1.0,0.483,0.496
238,0.001,1.0,0.482,0.495
239,0.001,1.0,0.482,0.495
240,0.001,1.0,0.486,0.491
241,0.001,1.0,0.486,0.492
242,0.001,1.0,0.487,0.491
243,0.001,1.0,0.488,0.488
244,0.001,1.0,0.488,0.489
245,0.001,1.0,0.491,0.486
246,0.001,1.0,0.489,0.488
247,0.001,1.0,0.488,0.489
248,0.001,1.0,0.495,0.486
249,0.001,1.0,0.497,0.483
250,0.001,1.0,0.495,0.483
251,0.001,1.0,0.493,0.488
252,0.001,1.0,0.488,0.488
253,0.001,1.0,0.494,0.491
254,0.001,1.0,0.495,0.492
255,0.001,1.0,0.494,0.495
256,0.001,1.0,0.491,0.493
257,0.001,1.0,0.492,0.49
258,0.001,1.0,0.495,0.492
259,0.001,1.0,0.493,0.489
260,0.001,1.0,0.495,0.493
261,0.001,1.0,0.502,0.493
262,0.001,1.0,0.505,0.488
263,0.001,1.0,0.501,0.491
264,0.001,1.0,0.5,0.486
265,0.001,1.0,0.501,0.487
266,0.001,1.0,0.504,0.483
267,0.0,1.0,0.498,0.478
268,0.0,1.0,0.5,0.485
269,0.0,1.0,0.496,0.48
270,0.0,1.0,0.494,0.485
271,0.0,1.0,0.498,0.483
272,0.0,1.0,0.495,0.483
273,0.0,1.0,0.494,0.483
274,0.0,1.0,0.495,0.489
275,0.0,1.0,0.5,0.492
276,0.0,1.0,0.501,0.491
277,0.0,1.0,0.501,0.489
278,0.0,1.0,0.502,0.49
279,0.0,1.0,0.501,0.487
280,0.0,1.0,0.501,0.487
281,0.0,1.0,0.501,0.482
282,0.0,1.0,0.504,0.485
283,0.0,1.0,0.502,0.482
284,0.0,1.0,0.504,0.479
285,0.0,1.0,0.504,0.482
286,0.0,1.0,0.51,0.48
287,0.0,1.0,0.503,0.481
288,0.0,1.0,0.499,0.485
289,0.0,1.0,0.498,0.491
290,0.0,1.0,0.498,0.489
291,0.0,1.0,0.5,0.486
292,0.0,1.0,0.497,0.484
293,0.0,1.0,0.501,0.483
294,0.0,1.0,0.503,0.482
295,0.0,1.0,0.507,0.489
296,0.0,1.0,0.503,0.486
297,0.0,1.0,0.508,0.485
298,0.0,1.0,0.508,0.483
299,0.0,1.0,0.508,0.484
300,0.0,1.0,0.504,0.489
301,0.0,1.0,0.505,0.486
302,0.0,1.0,0.502,0.49
303,0.0,1.0,0.499,0.486
304,0.0,1.0,0.499,0.487
305,0.0,1.0,0.5,0.492
306,0.0,1.0,0.497,0.496
307,0.0,1.0,0.494,0.494
308,0.0,1.0,0.49,0.492
309,0.0,1.0,0.489,0.49
310,0.0,1.0,0.492,0.49
311,0.0,1.0,0.497,0.492
